Sequences,Teams,Label
stuxfsGg,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxtutuxtutuxtuxtuxtutuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtutuxtuxtuxtuxtutuxtuxtutuxtuxtuxtuxtuxtu,Argentina,Low
tuxfssa,Argentina,Low
mxtuxtuxtuxtuxtuxtuxtuxtuxtu,Argentina,Low
htuxtuxtuxtuxtututuxtuxa,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxtuxa,Argentina,Low
tdmxExtumxfspCxf,Argentina,Low
tutututuxtuxtuxtuxtuxExtutuxtuxt,Argentina,Low
tmxtuxtuxtuxtuxtuxtuxtuxtututuxtuxtuxtuxtuxtuxtuxtuxtuxz,Argentina,Low
tuxtuxtuxtuxi,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxf,Argentina,Low
Cstusstmxtutus,Argentina,Low
CxtuxtutumxtuxtutuxtuxfmxtutuxtuxtuxtuxtuxtuxtuxtuxtusmxtuxtuxtuxzmxtutuxtuxtuxtumxtuxtuxtuxtuxtuxtmxtuxtuxtuxtusH,Argentina,Low
htuxtuxtuxtuxtuxtuxzmxz,Argentina,Low
tuxtus,Argentina,Low
tuxtuxtuxtutuxtuxtuxtuxtuxtuxtutuxtuxtuxtuxtuxtuxtuxtuxtumxz,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtu,Argentina,Low
sssgssgg,Argentina,Low
htuxtuxtuxtuxtuxtuxa,Argentina,Low
tuxtuxtuxi,Argentina,Low
tututuxtuxE,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtu,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxt,Argentina,Low
tuxtutuxa,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxtuxtuxfsmxtuxaxtuxtuxtuxtuxtuxtuxtutuxz,Argentina,Low
mxtuxtutuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxi,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxttumxftuxtuxtuxtuxtuxtuxtutuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtumxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxts,Argentina,Low
htuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtutuxz,Argentina,Low
tmxEtuxtuxtuxfsmxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxi,Argentina,Low
Cmxtuxtutuxtuxtuxtuxtumxt,Argentina,Low
tmtssssH,Argentina,Low
Htuxit,Argentina,Low
dpgjxtuxy,Argentina,Low
htuxtutuxtuxtuxtuxtu,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtumxtuxtutuxtuxtuxtuxtuxtuxtutututuxtuxtutuxtuxt,Argentina,Low
tuxtutu,Argentina,Low
tuttsss,Argentina,Low
tuxtuxt,Argentina,Low
tudtutupdg,Argentina,Low
htuxtuxtuxtutuxtuxtuxtutuxtuxtuxtuxtuxtuxftutuxtuxtuf,Argentina,Low
tuxtuxtuxtuxtuxtuxtumxtuxtututuxtuxtuxtuyr,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxvtuxtuxtuxtuxtuxtuxtuxtuxEdmxz,Argentina,Low
tuCtuxtutumxz,Argentina,Low
tuxtuxtuxtuxEtutuxtuxtuxi,Argentina,Low
mjyssd,Argentina,Low
tutuxEstu,Argentina,Low
tuxaxtuxz,Argentina,Low
tuxtuxtuxtuxtuxtutuimxtuxtuxtuxtuxtuxtuxExtu,Argentina,Low
tuxtuxtuxtsmxtuxtuxtuxtuxtuxtuxtuxtuxtua,Argentina,Low
