Sequences,Teams,Label
sssssd,Australia,Low
tuxtutuxtuxtuxEssd,Australia,Low
tuxtuxtu,Australia,Low
tuxtuxtuxtusd,Australia,Low
tutuxtuxtuxtutuxtutuxtuxtuxtuxtuxtuxtuxtuxtuxa,Australia,Low
tuxtutuxtuxtuxtumxEstuxtuxtuxtuxtutuxExtmz,Australia,Low
mxtuxtuxtuxtutsu,Australia,Low
tutssmxtuxtuxtuxtutuxtuxt,Australia,Low
tutuxtuxtuxtuxtutuxtuxtu,Australia,Low
ssssssCsss,Australia,Low
tutuxftuxt,Australia,Low
tuxtutuxtuxtuxtuxtuxtutuxtuxtuxtututu,Australia,Low
ssssssssssss,Australia,Low
tuxtuxtuxtuxtumxtutuxf,Australia,Low
tuxtdmxtuxtuxzmxi,Australia,Low
tuxtutuxtuxtutuxtuxtutuxtuxtuxtu,Australia,Low
mxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtutuxtuxtuxtututuxtuxtuxtumxtuxtutuxtuxtuxtutu,Australia,Low
Hmxfsssd,Australia,Low
sHossg,Australia,Low
htuxtuxtuxtuxtuxt,Australia,Low
tuxtuxf,Australia,Low
tuxfstutuxtuEsstuxtuxtuxtuxtuxtuxtuxtuxtutuz,Australia,Low
mxtuxtuxtuxtuxi,Australia,Low
htuxfmxf,Australia,Low
dsssss,Australia,Low
Gxftuxtumxtu,Australia,Low
tutusssy,Australia,Low
ssssmxtuxtussstu,Australia,Low
tututuxtuxtutuxtuxtuxtuxtuxtuxtuxtuxtuxExtuxtuxtuxtuxExExz,Australia,Low
tuxtuxtuxtuxtuxt,Australia,Low
mxtuxtuxtuxtuxtutuxtutuxtutsytutt,Australia,Low
ssssss,Australia,Low
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxExtuxtu,Australia,Low
tuxtutuxtuf,Australia,Low
spssssg,Australia,Low
tuxtutuxtuxtutuxtuxtuxtuxtuxtuxtuxtuxExtutu,Australia,Low
tututu,Australia,Low
htuxtuxtutuxtuxtuxtuxtuxtu,Australia,Low
tuxtuxtuxtuxtuxtutuxtuxtuxtututuxtututuxtuxtuxtuxtuxtuxtuxExExa,Australia,Low
tutssssssCmxissssy,Australia,Low
mxtuxa,Australia,Low
tuxtuxtutuxtuxtuxtutuxtuxtuxtutuxtuxtuxf,Australia,Low
sssssGxa,Australia,Low
tuxtuxtuxtutuxtutuxtutuxtuxtuttus,Australia,Low
tusssssdsCmxtutussd,Australia,Low
mxtuxtuxtuxi,Australia,Low
ssssssss,Australia,Low
mxtuxtuxtuxtutu,Australia,Low
ssssdg,Australia,Low
htuxtmxtuxtuxtutuxtuxtutuxtuxtuxtuxtuxtu,Australia,Low
mxtuxtuxi,Australia,Low
mxtuxExfssd,Australia,Low
htutuxtutuxtuxtuxtuxtuxa,Australia,Low
tutuxi,Australia,Low
sstuxisssssd,Australia,Low
mxtuxtuxtuxtuxtuxtutr,Australia,Low
tuztuz,Australia,Low
ttmxzmxf,Australia,Low
Httusss,Australia,Low
tuxtuxtuxtuxtuxtuxf,Australia,Low
tuxtuxtutuxtuxtuxtuxtuxtuxtuxtuxtutumxtu,Australia,Low
sssssa,Australia,Low
tuxtuxtutuxtuxtuxfd,Australia,Low
mxtuxtutuxtuxa,Australia,Low
tuxtui,Australia,Low
smxztusa,Australia,Low
tuxtutuxtuxtuxtuxtuxtuxtuxtututu,Australia,Low
tuxtuxEmxtuxttuxtuxtuxtutus,Australia,Low
Hsssspssssspss,Australia,Low
CtutuxExtutuxtuxt,Australia,Low
hftuxtuxtuxtumxtutr,Australia,Low
tuCssd,Australia,Low
tutuxf,Australia,Low
tuxtut,Australia,Low
tuxtututuxtuxtu,Australia,Low
tutuxtu,Australia,Low
tuxtuxtuxf,Australia,Low
ssCssss,Australia,Low
mxtuxtuxtumxtutuxtuxtuxtuxtuxtuxtu,Australia,Low
mxtuxtuxtuxtuxtuxtutu,Australia,Low
tuxtuxa,Australia,Low
tuxtutuxtuxi,Australia,Low
smCxtssssssds,Australia,Low
htuxtuxtuxtuxtuxtuxtuxtuxt,Australia,Low
tuxtuxtuxtuxtuxt,Australia,Low
tuxtCmxfmxtuxtuxtuxtuxa,Australia,Low
tutututuxExftutuspspmtuxtuxtuxtuxtuxtuxtuxtuxtuxtutuxtuxtutssdtuxtuxtuxtut,Australia,Low
mxtuxtuxtuxtuxtuxtmxtuxtutuxtuxt,Australia,Low
sssssddssm,Australia,Low
tutuxtuxtuxt,Australia,Low
mxtuxtuGxtuxE,Australia,Low
Cxtuxtuxtuxis,Australia,Low
tuxtuxtutuxtutu,Australia,Low
tuxtuxty,Australia,Low
tuxtuxtuxtuxtuxtuxtut,Australia,Low
sssssssssssssssn,Australia,Low
