Sequences,Teams,Label
tuxtuxtuxtuxtuxtuxtu,Brazil,Top
tuCtuxtuxtu,Brazil,Top
tuxtuxtuxtuxtuxE,Brazil,Top
htuxExidmxtu,Brazil,Top
mxExtuxtuxzdF,Brazil,Top
tutuCmxtuxa,Brazil,Top
htuxtuxtuzdF,Brazil,Top
tuxtuxtuxtu,Brazil,Top
tuxtuxtuxtuxtuxtuxtutu,Brazil,Top
mxEmxtuxtuxi,Brazil,Top
tustuxfHa,Brazil,Top
tuxtuxtmxtumxEtuxtuxtuxtumxtuxtuxtuxtuxtuxEr,Brazil,Top
mxtuxtuxtuxtuxtuxtuxtuxtuCtutuxtuxtuxExtuxtuxtuxf,Brazil,Top
sstustutu,Brazil,Top
htuxtuxtuxi,Brazil,Top
tutuxtutututu,Brazil,Top
CgtustsddH,Brazil,Top
tuxtutuxtuxt,Brazil,Top
dsmxtuxtus,Brazil,Top
mxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtutuxtu,Brazil,Top
tuxtutuxtuxtuxtutuxtuxtuxtuxtuxtuxtutuxtumxtuxtuxtuxtu,Brazil,Top
tuxtuxtuxtuxtuxE,Brazil,Top
sspssssCmCtuspCtuxtu,Brazil,Top
tutuxtutuxtuxtuxtuxtuxtuxtutuxtuxtuxtuxtutuxtuxtutuxtutudmxtutuxExftuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtutuxtuxtuxtuxtuxtuxtuxE,Brazil,Top
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxExtuxtumxzcw,Brazil,Top
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxktuxtuxtuxExtuxtu,Brazil,Top
tuxtudmxtuxtuxtuxa,Brazil,Top
htuxtuxtuxtuxtuxExz,Brazil,Top
htuxtuxtuxt,Brazil,Top
mxtmxtutuxtuxtuxtutuxtu,Brazil,Top
tuxtuxtuaa,Brazil,Top
tuxtuxtuxtuxtuCtuxtuxtuxtutu,Brazil,Top
tuxtuxtu,Brazil,Top
htuxtuxz,Brazil,Top
ssHHtu,Brazil,Top
mxtuxtututuxtutuxtuxtuxtutuxtuxtuximxta,Brazil,Top
tuxtuxtutuxtuy,Brazil,Top
htuxtutuxtutuxtuxtuxtuxtuxa,Brazil,Top
htuxtuxE,Brazil,Top
mxtuxtuxtuxtuxtuxtuxtuxtusmxtuxtuxf,Brazil,Top
tuxExtu,Brazil,Top
tuxtuxE,Brazil,Top
tuxtuxtu,Brazil,Top
tuxExtu,Brazil,Top
tuxtuxtuxtuxz,Brazil,Top
tuCdtuxtutunD,Brazil,Top
mxtuxtujmxa,Brazil,Top
Cmxtuxtuxa,Brazil,Top
tutusCmxtuxtuxtuxtuxtu,Brazil,Top
htuxtuxtuxiCCaxtutuxtuxtuxEtuxtusmxtuxtuxtuxtuxtu,Brazil,Top
htuxtu,Brazil,Top
tuxtuxtuxtuxtuxtutuxtu,Brazil,Top
Ctuxtuxtuxtuxi,Brazil,Top
tuxtutuxtuxtuxtutu,Brazil,Top
ssstututuH,Brazil,Top
mxEtututuxz,Brazil,Top
mxtuxtuxa,Brazil,Top
tuxtuxtuxtumxtuxtuxtuxtu,Brazil,Top
ssgtusgdg,Brazil,Top
htuxtuxtuxf,Brazil,Top
sHdHHtusHdsGHssssg,Brazil,Top
mxtuxtuxtuxtuxtuxtutuxtuxE,Brazil,Top
tuxtuxtuxtus,Brazil,Top
htuxtuxtutuxtuxtuxtu,Brazil,Top
htuxtuxtuxtuxtu,Brazil,Top
tuxtuxExt,Brazil,Top
tutuxExtuxz,Brazil,Top
tutuxtuxtuxtuxtuxtuxtutu,Brazil,Top
Cxtuxtuxtuxtuxtuxztutusmxtuxtutuxtuxtuxtuxtuxtuxtututuxtutuxtutuxt,Brazil,Top
CtuxExtuxtuxtuxtutututuxtuxtuxtuxtuxtutuxtuxtuxtuxtuxtu,Brazil,Top
tutuxtut,Brazil,Top
tuxtutuxtuxi,Brazil,Top
mxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtutuxtuxtutuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxttuxtuxz,Brazil,Top
ssHmxtuxtusgr,Brazil,Top
tututu,Brazil,Top
mxtuxtuxtuxtuxtuxtutututuxtuxtuxtuxtu,Brazil,Top
htuxtuxtutuxtuxtuxtuxtuxtuxtuxtmz,Brazil,Top
tussGtuxfdmxtuxi,Brazil,Top
hExtuxtuxtuxtuxtuxtuxtutuxtuxtuxtuxtutututuxtuxtuxtuxtutuxExtuxtuxtuxtutuxtuxtuxtuxtuxtuxtuxtutuxtumxE,Brazil,Top
sssHpsGHdgsGmxi,Brazil,Top
CmxtuxtuxtuxtuxtuxtutututuxtuxtuxtuxtuxtutuxtutuxtuxtuxzmxfsCtuxi,Brazil,Top
CtstuxEsd,Brazil,Top
tuxtutuxf,Brazil,Top
Gxtuxtuxtuxtu,Brazil,Top
htuxtuxtuxtuxtutuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtutuxtuxtuxtutuxz,Brazil,Top
tuxtutuxtuxtun,Brazil,Top
