Sequences,Teams,Label
ssstuss,Argentina,Low
tuxtuxtutuxtuxtuxtuxtuxtuxtuxtuxtuxtuxi,Argentina,Low
CxtuxtuxtuspssGtutuxtuxtuxtuxtuxtuxtu,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxtu,Argentina,Low
tuxtuxa,Argentina,Low
tuxtuxtuxtuxtuB,Argentina,Low
tuxtuxtuxtuxtuxtuxExtuxtuxtuxtuxtutuxtuxtuxtuxExtutu,Argentina,Low
sssssstupsdtusHmxtuxa,Argentina,Low
tutuxtuxtuxtuxtutuC,Argentina,Low
mxtuxtuxtuxtuxtuxtuxtuxtu,Argentina,Low
tuxtuxtuxtuxtuxtuxtuz,Argentina,Low
tuxtuxtuxtuxtuxtumxtuxtuxtuxa,Argentina,Low
htuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuv,Argentina,Low
tutussCjtuy,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtu,Argentina,Low
tuximxtuxi,Argentina,Low
tuxtuxtuxtuxa,Argentina,Low
htuxtumtuxtG,Argentina,Low
sssdsdg,Argentina,Low
mxtuxtuxtuxtu,Argentina,Low
tuxtuxtuxtu,Argentina,Low
sGxtusstuxi,Argentina,Low
sssssstu,Argentina,Low
mxtuxtuxtuxtutusmxfmxtuxtuxtu,Argentina,Low
mxtuxtuxtuxtustutusmxtu,Argentina,Low
htuxtuxtuxtutuss,Argentina,Low
tuxtuxtuxtusCxtumztuxtstuxtu,Argentina,Low
ssssCsspsssd,Argentina,Low
sssdsssg,Argentina,Low
htuxtuxtuC,Argentina,Low
mxtuxtuxa,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxExa,Argentina,Low
htuxtuxtuxtusssGxf,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxtu,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxtuacw,Argentina,Low
tuxtuxtu,Argentina,Low
sssssma,Argentina,Low
htuxtuxtutu,Argentina,Low
ssspmxt,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtu,Argentina,Low
tuxtuxtuxtuxtuxf,Argentina,Low
tusCxtuxtuxtuxtuxtuxtutuxtuxtuxtuxtuxtudds,Argentina,Low
tumxtu,Argentina,Low
ssssCtussssd,Argentina,Low
tuxtuxtumxtuxtuxtumxtuxtuxtuxtuxE,Argentina,Low
spsGsypgnD,Argentina,Low
tutuxtuxtuxtuxtu,Argentina,Low
sstussy,Argentina,Low
tuxtuxtuxtuxis,Argentina,Low
ssCtutsssd,Argentina,Low
mxtuxtuxtuxtuxtuxtuxtuxi,Argentina,Low
mxtuxtu,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxf,Argentina,Low
tsHtusm,Argentina,Low
tuxtuxtuxtuxtu,Argentina,Low
sstuxtu,Argentina,Low
mxtuxtuxtuxtuxtuxz,Argentina,Low
htuxtuog,Argentina,Low
hrtuxtuxtuxtuxtu,Argentina,Low
tuxtuxtuxtuC,Argentina,Low
sssssHr,Argentina,Low
mxtumxtuxt,Argentina,Low
tusssd,Argentina,Low
tuxtuxtuxtsu,Argentina,Low
mxtuxtuxtuxtu,Argentina,Low
tuxtuxtuxtuxtuxtuxEs,Argentina,Low
tuxismxtuxExExtumxfssstuxtuxtuxtuxExtuxtuC,Argentina,Low
htuxtuxtuxtuxtuxtuxtuxtuztuxz,Argentina,Low
CmxtuxtuxE,Argentina,Low
tussptuxtuxtuxtu,Argentina,Low
tuxExtuxtuxa,Argentina,Low
htuxtuxf,Argentina,Low
htuxrtuxtuxtuxtuxtuxfmxtuxtumxtuxtuxa,Argentina,Low
tuxtuxtuxtuxtuxtumxtussypssHttuxtu,Argentina,Low
mxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtumxtuxtuxtuxtuxtumxzv,Argentina,Low
htuxtuxtuxtus,Argentina,Low
spGmsCxtusp,Argentina,Low
hExtuxtu,Argentina,Low
tuxtuxtuxtuxtuxExExtu,Argentina,Low
tuxtuxtutuxtuxtuxtuxtu,Argentina,Low
Cmxtuxtuxtuxtuxtuc,Argentina,Low
Amxtuxtuxtuxtuxtuxtu,Argentina,Low
tuxtuxtuxtuxtuxtu,Argentina,Low
tuxtuxE,Argentina,Low
tutuxtC,Argentina,Low
htuxtussa,Argentina,Low
tuxtuxtuxtu,Argentina,Low
GxtuxtuxtuxtuxtuxtuC,Argentina,Low
sspssdg,Argentina,Low
tuxtuxtu,Argentina,Low
tuxtuxtuxtuxa,Argentina,Low
tutuxtuxtuxE,Argentina,Low
tuxtuxtuxtu,Argentina,Low
hamxtuxz,Argentina,Low
ssssssssye,Argentina,Low
tuxtuxtuxtuxtuxtutus,Argentina,Low
isssssy,Argentina,Low
sssspdgg,Argentina,Low
htuxtuxtumxtuxtuxtuxtuxtuxExExz,Argentina,Low
tuCtuC,Argentina,Low
tuxtuxtuxtuxtuxtuxtuxtuxi,Argentina,Low
Gxtuxtuxtuxa,Argentina,Low
tuxtuxtu,Argentina,Low
