Sequences,Teams,Label
tutssssssssG,Switzerland,Low
mxtutuxtu,Switzerland,Low
tuxtuxa,Switzerland,Low
htutuxtuxtuxtuxtuxtutuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxExtuxExtuxtuxfsmxz,Switzerland,Low
tusCtussCgsgH,Switzerland,Low
tuxEsg,Switzerland,Low
htuxtutuxtuxtuxtutuxtuxtuxtuxtuxtuxtuxtutuxf,Switzerland,Low
tuxtuxE,Switzerland,Low
tuxtuxE,Switzerland,Low
tuCmxzd,Switzerland,Low
tutuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxExtuz,Switzerland,Low
tuxtuxtuxtuxtuxtuxtuxtu,Switzerland,Low
tuxtuxtuxtuxtuxtuxtu,Switzerland,Low
mxtuxtuxi,Switzerland,Low
tuxtutuxtuxtuxtuxtuxtumxtu,Switzerland,Low
Cxtuxtutuxity,Switzerland,Low
ssssps,Switzerland,Low
tuxtuxtuxtuxtuxtuxtuxtutuxtuxtuxtuxtuspmxtuxtutuxtu,Switzerland,Low
tuxExtuxtuxtu,Switzerland,Low
mxtutuxtuxtuxtuxi,Switzerland,Low
tutudmxtuxtuxtuxtuxtuxtuxtutuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuximxtuxzmzG,Switzerland,Low
Gxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtu,Switzerland,Low
mxtuxtuxtuxtuxtuxtuxtuxtuxtuxismxtuxtuxtuxtuxExtuxtuxtuxtuxtuxtu,Switzerland,Low
tutuxtu,Switzerland,Low
sssssds,Switzerland,Low
htuxtuxtutuxtuxtuxtuxtuxtuxExtuxEs,Switzerland,Low
mxtuxtuxtuxtuxtuxtuz,Switzerland,Low
mxCtuxtus,Switzerland,Low
tuxtutuxtuxE,Switzerland,Low
tuxtuxtuxtuxtuxtuxtuxtuxtututuxtuxtutu,Switzerland,Low
htuxtuximxtuxtuxtuxtu,Switzerland,Low
Cmxtuxtuss,Switzerland,Low
tutuxtututu,Switzerland,Low
tuxtuxtutu,Switzerland,Low
tuxtuxtuxaa,Switzerland,Low
tuxtuxtuxtuxaxtuxtuxtuxtuxtuxtuxtutumxfssmxtuxtuxtuxtuxtu,Switzerland,Low
mxtuxtuxtuxtuxtuxtutuxtuxtutuxtuxtumxtuxtuxtuxtuxtuxtuxtu,Switzerland,Low
stsuss,Switzerland,Low
tutuxtu,Switzerland,Low
tuxtui,Switzerland,Low
spmCmxftuH,Switzerland,Low
tuxtuxtuxtuxtuxtuxtuxfmxtuxtuxtuxf,Switzerland,Low
tutututuxtuxtuxtuxtuxtuxtuimxtuxtuxtuxtuxtuxtuxtutuxtuxtu,Switzerland,Low
tututusmxExtutuxz,Switzerland,Low
Cmxtuxtuxtuxtuxtu,Switzerland,Low
tuCtussCtutu,Switzerland,Low
sspsyH,Switzerland,Low
htuxtuxtuzmz,Switzerland,Low
htutuxtu,Switzerland,Low
CxtuxE,Switzerland,Low
mxtuxtuxE,Switzerland,Low
tutuxtuxtuxtuxis,Switzerland,Low
tuxtuxi,Switzerland,Low
tuxtuxtuxtumxz,Switzerland,Low
tuxtuxtutuxtutuxi,Switzerland,Low
Gtuxtussssa,Switzerland,Low
htuxtua,Switzerland,Low
htuxtuxtu,Switzerland,Low
tuxtuxtumxtuxtutuxtuxtuxtuxtuxtuxtuxtusC,Switzerland,Low
tuxtuxtuxtuxtuxtutuC,Switzerland,Low
spmxtuxtuy,Switzerland,Low
sssspHss,Switzerland,Low
tuxtutuxtuxtuxtuxtuxtuxtuxty,Switzerland,Low
sssGmtuxtu,Switzerland,Low
tuxtuxa,Switzerland,Low
htuxtu,Switzerland,Low
mxtuxtuxtuxtuxtuxtutuxtuxtuxtuxtu,Switzerland,Low
htuxExtutuxtutuxtuxtutuxtuxtuxtus,Switzerland,Low
ssmxtutusdgtuxEsm,Switzerland,Low
tutuxtuxtuxtuxtuCmxtuxExtumxtuxtuxtuxtuxtuxtu,Switzerland,Low
mxtuxtuxtutuxtuxEmxtuxz,Switzerland,Low
tutuxtuxtuxi,Switzerland,Low
tuxtuxtuxtutuxz,Switzerland,Low
tuxtusmxtuxtuxtuxExtuxaa,Switzerland,Low
tutuxz,Switzerland,Low
tututuxtuxtummxfd,Switzerland,Low
htuxtuxtuxtuxtuxExtuxEtuxtuxtuxtuxtu,Switzerland,Low
ttuxtuxtuxtu,Switzerland,Low
tuxtuxtuxtu,Switzerland,Low
mxtuxtuxze,Switzerland,Low
htuxEsCmxtuxtuxtuxtuxt,Switzerland,Low
Csdmxtar,Switzerland,Low
mxtutuxtuxtuxtutumxE,Switzerland,Low
tuxfsy,Switzerland,Low
tuxtuxz,Switzerland,Low
