Sequences,Teams,Label
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtudsCmxz,Uruguay,Top
tuxtuxtuxtu,Uruguay,Top
tuxtuxtuxij,Uruguay,Top
tuxtuxf,Uruguay,Top
tuCmxtuxtuxtu,Uruguay,Top
tuxtuxtumxtuxtuxtuxtuxtuxtuxtuxtuxtuxtu,Uruguay,Top
tumxtuxtuxissdmxtu,Uruguay,Top
mxtmxa,Uruguay,Top
gxtuxt,Uruguay,Top
tuxtuxtuxtuxtuxtuxtuxtu,Uruguay,Top
Cmxtuxtuxtuxtuxtuxtuta,Uruguay,Top
tuxtuxtuxtuxtu,Uruguay,Top
CtuxtututuxtussH,Uruguay,Top
tuxtuxtuxtuxtuxtuxtu,Uruguay,Top
ssssdtu,Uruguay,Top
tututuxtuxtuxtuxtuxtuxtua,Uruguay,Top
tuxtuxtuxtuxtututsd,Uruguay,Top
tuximxa,Uruguay,Top
tumxzb,Uruguay,Top
tutuxtutuxtuxi,Uruguay,Top
tutuxtuxtuxtuxtuxtsu,Uruguay,Top
htuxtu,Uruguay,Top
ssyssd,Uruguay,Top
tuxtuxtuxtuxtuaiy,Uruguay,Top
tuxtuxz,Uruguay,Top
ssssssCtuxis,Uruguay,Top
ssCmxtut,Uruguay,Top
tuxtuCssssd,Uruguay,Top
mxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtud,Uruguay,Top
tuxtuxt,Uruguay,Top
tuxtuxExa,Uruguay,Top
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxis,Uruguay,Top
sysssCt,Uruguay,Top
mxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtutu,Uruguay,Top
tuxtuxtuxtu,Uruguay,Top
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuy,Uruguay,Top
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxEsmxtuxtuxtuxisCtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxi,Uruguay,Top
Ctutssss,Uruguay,Top
mxtuxtuxtu,Uruguay,Top
sssssnD,Uruguay,Top
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxa,Uruguay,Top
htuxtuxt,Uruguay,Top
tuxtuxtuxtuxtuxtuxtuxtuxt,Uruguay,Top
tuxtuxtuxtuxtuxtuxtuxtuxtuss,Uruguay,Top
mxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtu,Uruguay,Top
ssssss,Uruguay,Top
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtutuxtuxtuxtut,Uruguay,Top
ssspsssCxExftuss,Uruguay,Top
sssmmtua,Uruguay,Top
htuxtuxtuxtuxtuxtuxtutusmxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtutuxtuxtuxtuxtuxtuxtuxtuxExtuxtuxzs,Uruguay,Top
CHsssGxtuxisps,Uruguay,Top
Cmxtuxtuxtuxtuxtuxtuxtutuxtu,Uruguay,Top
tuxtuxtuxtuxtuxtuxtuxtuxtuxisy,Uruguay,Top
tutuxtuxtuxtuCtuxtuxtuxtuxtuxf,Uruguay,Top
ssCsssd,Uruguay,Top
tuxtuxa,Uruguay,Top
htuxtuxtuxtuxtuxtuxtuxtu,Uruguay,Top
tumxtuxtuxtumz,Uruguay,Top
ssssdgHHtc,Uruguay,Top
tuxEsspHr,Uruguay,Top
htuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtu,Uruguay,Top
tuxtuxtuxtuxtu,Uruguay,Top
mxtuxt,Uruguay,Top
tuxtuxtuxvtuxt,Uruguay,Top
tuxtuak,Uruguay,Top
htuxtuxtuxtuxtuxi,Uruguay,Top
tutuxtG,Uruguay,Top
mxtuxtuxtuxtuxis,Uruguay,Top
tuCtuxtuxtuxtuxtuxtuxtuxzc,Uruguay,Top
tuzsmxtuxtu,Uruguay,Top
Gxtuxtuxtmxtuxtu,Uruguay,Top
sspysp,Uruguay,Top
htumxtuxExExz,Uruguay,Top
tumxtuximxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxt,Uruguay,Top
htuxtuxtuxz,Uruguay,Top
htuxtuxtuxt,Uruguay,Top
Cxtuxtuxtuxtuxtuxtutuxtuxtuxtuxtuxtuxtuxir,Uruguay,Top
gxtuxtuxtuxtuzmxtuxtuxz,Uruguay,Top
