index,timestamp,minute,second,team,player,play_pattern,type,possession,shot_type,,,player,play_pattern,type,combination,Area on the pitch 
1,00:00.0,0,0,Croatia,,Regular Play,Starting XI,1,,,,,Regular Play,Starting XI,,
2,00:00.0,0,0,Denmark,,Regular Play,Starting XI,1,,,,,Regular Play,Starting XI,,
3,00:00.0,0,0,Croatia,,Regular Play,Half Start,1,,,,,Regular Play,Half Start,,
4,00:00.0,0,0,Denmark,,Regular Play,Half Start,1,,,,,Regular Play,Half Start,,
5,00:01.0,0,1,Denmark,Christian Dannemann Eriksen,From Kick Off,Pass,2,,,,Christian Dannemann Eriksen,From Kick Off,Pass,,Within own 10m 
6,00:02.7,0,2,Denmark,Mathias Jattah-Njie Jørgensen,From Kick Off,Ball Receipt*,2,,,,Mathias Jattah-Njie Jørgensen,From Kick Off,Ball Receipt*,,
7,00:02.7,0,2,Denmark,Mathias Jattah-Njie Jørgensen,From Kick Off,Carry,2,,,,Mathias Jattah-Njie Jørgensen,From Kick Off,Carry,,
8,00:03.7,0,3,Croatia,Mario Mandžukić,From Kick Off,Pressure,2,,,,Mario Mandžukić,From Kick Off,Pressure,,
9,00:04.1,0,4,Denmark,Mathias Jattah-Njie Jørgensen,From Kick Off,Pass,2,,,,Mathias Jattah-Njie Jørgensen,From Kick Off,Pass,,
10,00:07.0,0,7,Croatia,Domagoj Vida,From Kick Off,Pass,2,,,,Domagoj Vida,From Kick Off,Pass,,
11,00:09.3,0,9,Denmark,Thomas Delaney,From Kick Off,Pass,2,,,,Thomas Delaney,From Kick Off,Pass,,
12,00:10.4,0,10,Denmark,Andreas Christensen,From Kick Off,Ball Receipt*,2,,,,Andreas Christensen,From Kick Off,Ball Receipt*,,
13,00:11.1,0,11,Denmark,Andreas Christensen,From Kick Off,Pass,2,,,,Andreas Christensen,From Kick Off,Pass,,
14,00:11.1,0,11,Croatia,Luka Modrić,From Kick Off,Duel,2,,,,Luka Modrić,From Kick Off,Duel,,
15,00:12.5,0,12,Croatia,Marcelo Brozović,From Kick Off,Pass,2,,,,Marcelo Brozović,From Kick Off,Pass,,
16,00:14.1,0,14,Croatia,Luka Modrić,From Kick Off,Ball Receipt*,2,,,,Luka Modrić,From Kick Off,Ball Receipt*,,
17,00:14.1,0,14,Croatia,Luka Modrić,From Kick Off,Duel,2,,,,Luka Modrić,From Kick Off,Duel,,
18,00:14.1,0,14,Denmark,Andreas Christensen,From Kick Off,Pass,2,,,,Andreas Christensen,From Kick Off,Pass,,
19,00:15.1,0,15,Denmark,Christian Dannemann Eriksen,From Kick Off,Ball Receipt*,2,,,,Christian Dannemann Eriksen,From Kick Off,Ball Receipt*,,
20,00:15.3,0,15,Denmark,Christian Dannemann Eriksen,From Kick Off,Pass,2,,,,Christian Dannemann Eriksen,From Kick Off,Pass,,
21,00:16.3,0,16,Denmark,Yussuf Yurary Poulsen,From Kick Off,Ball Receipt*,2,,,,Yussuf Yurary Poulsen,From Kick Off,Ball Receipt*,,
22,00:16.3,0,16,Croatia,Domagoj Vida,From Kick Off,Pass,2,,,,Domagoj Vida,From Kick Off,Pass,,
23,00:17.9,0,17,Croatia,Ivan Perišić,From Kick Off,Ball Receipt*,2,,,,Ivan Perišić,From Kick Off,Ball Receipt*,,
24,00:17.9,0,17,Croatia,Ivan Perišić,From Kick Off,Duel,2,,,,Ivan Perišić,From Kick Off,Duel,,
25,00:17.9,0,17,Denmark,Henrik Dalsgaard,From Kick Off,Pass,2,,,,Henrik Dalsgaard,From Kick Off,Pass,,
26,00:19.4,0,19,Denmark,Martin Braithwaite Christensen,From Kick Off,Ball Receipt*,2,,,,Martin Braithwaite Christensen,From Kick Off,Ball Receipt*,,
27,00:19.4,0,19,Denmark,Martin Braithwaite Christensen,From Kick Off,Carry,2,,,,Martin Braithwaite Christensen,From Kick Off,Carry,,
28,00:19.4,0,19,Denmark,Martin Braithwaite Christensen,From Kick Off,Pass,2,,,,Martin Braithwaite Christensen,From Kick Off,Pass,,
29,00:21.3,0,21,Denmark,Andreas Evald Cornelius,From Kick Off,Ball Receipt*,2,,,,Andreas Evald Cornelius,From Kick Off,Ball Receipt*,,
30,00:21.3,0,21,Croatia,Domagoj Vida,From Kick Off,Pass,2,,,,Domagoj Vida,From Kick Off,Pass,,
31,00:24.1,0,24,Croatia,Ivan Strinić,From Kick Off,Ball Receipt*,2,,,,Ivan Strinić,From Kick Off,Ball Receipt*,,
32,00:53.0,0,53,Denmark,Jonas Knudsen,From Throw In,Pass,3,,,,Jonas Knudsen,From Throw In,Pass,,
33,00:55.6,0,55,Denmark,Thomas Delaney,From Throw In,Ball Receipt*,3,,,,Thomas Delaney,From Throw In,Ball Receipt*,,
34,00:55.6,0,55,Denmark,Thomas Delaney,From Throw In,Carry,3,,,,Thomas Delaney,From Throw In,Carry,,
35,00:56.3,0,56,Denmark,Thomas Delaney,From Throw In,Pass,3,,,,Thomas Delaney,From Throw In,Pass,,
36,00:57.1,0,57,Denmark,Mathias Jattah-Njie Jørgensen,From Throw In,Ball Receipt*,3,,,,Mathias Jattah-Njie Jørgensen,From Throw In,Ball Receipt*,,
37,00:57.1,0,57,Denmark,Mathias Jattah-Njie Jørgensen,From Throw In,Carry,3,,,,Mathias Jattah-Njie Jørgensen,From Throw In,Carry,,
38,00:57.3,0,57,Denmark,Mathias Jattah-Njie Jørgensen,From Throw In,Shot,3,Open Play,,,Mathias Jattah-Njie Jørgensen,From Throw In,Shot,,
39,00:58.0,0,57,Croatia,Danijel Subašić,From Throw In,Goal Keeper,3,,,,Danijel Subašić,From Throw In,Goal Keeper,,
40,02:10.1,2,10,Denmark,,Regular Play,Camera On,4,,,,,Regular Play,Camera On,,
41,02:10.9,2,10,Croatia,Mario Mandžukić,Regular Play,Pressure,4,,,,Mario Mandžukić,Regular Play,Pressure,,
42,02:11.2,2,11,Denmark,Simon Thorup Kjær,Regular Play,Pass,4,,,,Simon Thorup Kjær,Regular Play,Pass,,
43,02:12.5,2,12,Croatia,Mario Mandžukić,Regular Play,Pressure,4,,,,Mario Mandžukić,Regular Play,Pressure,,
44,02:12.5,2,12,Denmark,Mathias Jattah-Njie Jørgensen,Regular Play,Ball Receipt*,4,,,,Mathias Jattah-Njie Jørgensen,Regular Play,Ball Receipt*,,
45,02:12.5,2,12,Denmark,Mathias Jattah-Njie Jørgensen,Regular Play,Carry,4,,,,Mathias Jattah-Njie Jørgensen,Regular Play,Carry,,
