index,timestamp,minute,second,team,player,play_pattern,type,possession,shot_type
1,00:00:00.000,0,0,Tunisia,,Regular Play,Starting XI,1,
2,00:00:00.000,0,0,England,,Regular Play,Starting XI,1,
3,00:00:00.000,0,0,Tunisia,,Regular Play,Half Start,1,
4,00:00:00.000,0,0,England,,Regular Play,Half Start,1,
5,00:00:05.600,0,5,England,Bamidele Alli,From Kick Off,Pass,2,
6,00:00:06.893,0,6,England,John Stones,From Kick Off,Ball Receipt*,2,
7,00:00:06.893,0,6,England,John Stones,From Kick Off,Carry,2,
8,00:00:08.040,0,8,Tunisia,Wahbi Khazri,From Kick Off,Pressure,2,
9,00:00:08.133,0,8,England,John Stones,From Kick Off,Pass,2,
10,00:00:09.733,0,9,England,Kyle Walker,From Kick Off,Ball Receipt*,2,
11,00:00:09.733,0,9,England,Kyle Walker,From Kick Off,Carry,2,
12,00:00:12.733,0,12,Tunisia,Wahbi Khazri,From Kick Off,Pressure,2,
13,00:00:12.920,0,12,England,Kyle Walker,From Kick Off,Pass,2,
14,00:00:14.013,0,14,England,Jordan Brian Henderson,From Kick Off,Ball Receipt*,2,
15,00:00:14.013,0,14,England,Jordan Brian Henderson,From Kick Off,Pass,2,
16,00:00:14.093,0,14,Tunisia,Anice Badri,From Kick Off,Pressure,2,
17,00:00:15.613,0,15,England,John Stones,From Kick Off,Ball Receipt*,2,
18,00:00:15.613,0,15,England,John Stones,From Kick Off,Carry,2,
19,00:00:16.720,0,16,England,John Stones,From Kick Off,Pass,2,
20,00:00:18.133,0,18,England,Harry Maguire,From Kick Off,Ball Receipt*,2,
21,00:00:18.133,0,18,England,Harry Maguire,From Kick Off,Carry,2,
22,00:00:21.333,0,21,England,Harry Maguire,From Kick Off,Pass,2,
23,00:00:22.532,0,22,England,Ashley Young,From Kick Off,Ball Receipt*,2,
24,00:00:22.532,0,22,England,Ashley Young,From Kick Off,Carry,2,
25,00:00:23.000,0,23,Tunisia,Fakhreddine Ben Youssef,From Kick Off,Pressure,2,
26,00:00:23.320,0,23,England,Ashley Young,From Kick Off,Pass,2,
27,00:00:24.653,0,24,England,Harry Maguire,From Kick Off,Ball Receipt*,2,
28,00:00:24.653,0,24,England,Harry Maguire,From Kick Off,Carry,2,
29,00:00:25.293,0,25,Tunisia,Wahbi Khazri,From Kick Off,Pressure,2,
30,00:00:25.533,0,25,England,Harry Maguire,From Kick Off,Pass,2,
31,00:00:26.413,0,26,England,Ashley Young,From Kick Off,Ball Receipt*,2,
32,00:00:26.413,0,26,England,Ashley Young,From Kick Off,Carry,2,
